"","country","R0","strategy","time","infections_lower","infections_median","infections_upper","deaths_lower","deaths_median","deaths_upper","hosp_inc_lower","hosp_inc_median","hosp_inc_upper","ICU_inc_lower","ICU_inc_median","ICU_inc_upper","hosp_occ_lower","hosp_occ_median","hosp_occ_upper","ICU_occ_lower","ICU_occ_median","ICU_occ_upper"
"133",2,2.7,"unmitigated",133,718.75,1256.5,3839.87499999999,3,7.5,24.525,718.75,1256.5,3839.87499999999,3,11,34,1223.85,2083,6226.14999999999,537.7,871.5,2642.14999999999
"134",2,2.7,"unmitigated",134,623.175,1071.5,3240.94999999999,1,6,17.525,623.175,1071.5,3240.94999999999,1.475,9,22.525,1033.475,1791,5417.19999999999,459.6,756.5,2291.65
"135",2,2.7,"unmitigated",135,516.85,920,2776.99999999999,1,5,18.525,516.85,920,2776.99999999999,2,7,18.625,902.125,1571,4684.99999999999,398.225,649,2001.225
"136",2,2.7,"unmitigated",136,462.35,806,2494.77499999999,1,5,16.1499999999999,462.35,806,2494.77499999999,1.475,6,20.1499999999999,782.9,1354,4068.19999999999,343.5,566.5,1732.45
"137",2,2.7,"unmitigated",137,392.425,694.5,2097.19999999999,1,4,13.1,392.425,694.5,2097.19999999999,0.475,5,17,678.8,1177.5,3477.57499999999,291.85,495.5,1475.375
"138",2,2.7,"unmitigated",138,338.8,601,1873.375,0,3.5,13,338.8,601,1873.375,0.475,5,14.525,584.375,1023,2997.32499999999,254.375,433.5,1275.225
"139",2,2.7,"unmitigated",139,291.475,521.5,1592.5,0,3,10,291.475,521.5,1592.5,0.475,3.5,10.05,507.375,877.5,2601.72499999999,220.85,376.5,1116.2
"140",2,2.7,"unmitigated",140,255.9,451.5,1420.05,0,3,7,255.9,451.5,1420.05,0,3,11.1,433.375,762,2219.725,193.425,334.5,966.774999999998
"141",2,2.7,"unmitigated",141,210,380,1179.325,0,2,8.52499999999999,210,380,1179.325,0.475,3,9,383.375,648.5,1931.275,160.95,285,834.774999999998
"142",2,2.7,"unmitigated",142,187.325,326,1024.6,0,2,7,187.325,326,1024.6,0,3,8.04999999999998,326.9,564.5,1677.425,139.425,242.5,726.849999999998
"143",2,2.7,"unmitigated",143,166.95,283,874.374999999998,0,1,5,166.95,283,874.374999999998,0,2,7.52499999999999,279.8,484.5,1442.525,118.95,208.5,629.624999999999
"144",2,2.7,"unmitigated",144,139.95,251,758.949999999998,0,1,6.04999999999998,139.95,251,758.949999999998,0,2,8,243,418.5,1254.575,99.475,184,549.424999999999
